site_id,site_name,country,city,region,therapeutic_areas,indication_experience,historical_patients_per_month,avg_activation_days,data_quality_score,active_trials,beds,has_biomarker_testing,has_pediatric_capability,principal_investigator,last_active_date
SITE-0001,Stonegate Medical Center,USA,Boston,North America,infectious disease|immunology|respiratory,Parkinson's disease|rheumatoid arthritis,2.77,67,0.56,3,258,1,true,Amara Kowalski,2024-08-15
SITE-0002,Summit Teaching Hospital,Italy,Rome,Western Europe,hematology,chronic kidney disease|non-small cell lung cancer|multiple sclerosis,1.49,131,0.59,5,638,True,true,Hana Andersen,2019-02-23
SITE-0003,Ironwood Research Institute,Singapore,Singapore,Asia Pacific,infectious disease|respiratory|endocrinology,melanoma|type 2 diabetes|rheumatoid arthritis,0.37,119,0.72,7,670,True,false,Clara Tanaka,11/23/2018
SITE-0004,Bayview University Hospital,Mexico,Monterrey,Latin America,immunology|infectious disease|endocrinology,breast cancer|Parkinson's disease,1.13,114,0.85,0,254,true,yes,Ravi Santos,03/06/2025
SITE-0005,Fairhaven Teaching Hospital,United States,Miami,North America,hematology|neurology|endocrinology,multiple sclerosis|heart failure|chronic kidney disease|type 2 diabetes,3.03,194,0.71,2,541,False,true,Marcus Nguyen,10/21/2022
SITE-0006,Elmhurst Research Institute,France,Marseille,Western Europe,immunology|neurology,melanoma|asthma|breast cancer|heart failure,3.89,47,0.85,8,788,True,yes,Jonah Ibrahim,2025-08-18
SITE-0007,Westfield Clinical Center,Singapore,Singapore,Asia Pacific,infectious disease|hematology|immunology,Crohn's disease,1.33,5,0.79,8,20,1,yes,Yara Voss,09/19/2019
SITE-0008,Northbridge Clinical Center,Mexico,Guadalajara,Latin America,oncology,melanoma|rheumatoid arthritis,0.53,62,0.84,8,189,True,no,Hassan Yamamoto,2023-12-22
SITE-0009,Fairhaven University Hospital,US,Portland,North America,respiratory|endocrinology,asthma|breast cancer|chronic kidney disease,0.66,131,0.81,0,92,0,true,Nora Reyes,2018-03-28
SITE-0010,Pinecrest Research Institute,United Kingdom,London,Western Europe,neurology|cardiology|endocrinology,type 2 diabetes|breast cancer|multiple sclerosis|melanoma,2.39,166,0.59,6,382,False,no,Theo Okada,2022-07-26
SITE-0011,Lakeside Cancer Institute,Japan,Tokyo,Asia Pacific,endocrinology|respiratory,type 2 diabetes,0.93,80,0.75,1,473,1,true,Marcus Yamamoto,2022-09-25
SITE-0012,Stonegate Translational Center,Brazil,Sao Paulo,Latin America,respiratory,asthma|type 2 diabetes|ulcerative colitis|Non Small Cell Lung Cancer,3.94,161,0.62,4,242,true,true,Hana Keller,03/14/2021
SITE-0013,Riverbend University Hospital,Canada,Vancouver,North America,cardiology|oncology|infectious disease,multiple sclerosis,,105,0.8,0,654,true,no,Sienna Almeida,2022-07-12
SITE-0014,Summit Medical Center,United Kingdom,Manchester,Western Europe,endocrinology,heart failure|ulcerative colitis,0.7,162,0.75,1,95,1,false,Lukas Santos,07/19/2021
SITE-0015,Highland Cancer Institute,South Korea,Seoul,Asia Pacific,endocrinology,multiple sclerosis|asthma|breast cancer,2.87,180,0.96,1,157,True,true,Jonah Yamamoto,02/02/2018
SITE-0016,Summit Teaching Hospital,Mexico,Monterrey,Latin America,endocrinology,Crohn's disease|chronic kidney disease,3.44,109,0.91,0,23,True,false,Omar Santos,07/28/2018
SITE-0017,Harbor Health Campus,Canada,Vancouver,North America,respiratory|infectious disease|oncology,rheumatoid arthritis,3.79,83,0.81,2,460,false,true,Mei Tanaka,2024-02-13
SITE-0018,Elmhurst Clinical Center,Germany,Munich,Western Europe,neurology,psoriasis,3.16,149,0.96,3,186,false,no,Elena Patel,2024-12-17
SITE-0019,Meridian Health Campus,South Korea,Busan,Asia Pacific,neurology|cardiology|immunology,ulcerative colitis,3.51,101,0.68,3,248,true,false,Ravi Keller,03/28/2020
SITE-0020,Stonegate Research Institute,Brazil,Rio de Janeiro,Latin America,respiratory|endocrinology,NSCLC|rheumatoid arthritis|heart failure,0.35,133,0.72,3,280,true,no,Elena Fischer,2021-07-08
SITE-0021,Brighton Teaching Hospital,US,Phoenix,North America,immunology|endocrinology,melanoma|psoriasis|Crohn's disease,3.42,121,0.69,4,587,false,false,Ingrid Dupont,2023-09-09
